1,2 bar,2 bar,2 bar,,,,
2,2 bar,2 bar,2 bar,,,,
3,2 bar,blank,2 bar,,,,
4,blank,blank,blank,,,,
5,blank,3 bar,blank,,,,
6,3 bar,3 bar,3 bar,,,,
7,3 bar,blank,blank,,,,
8,blank,blank,blank,,,,
9,blank,blank,blank,,,,
10,blank,white 7,white 7,,,,
11,white 7,blank,white 7,,,,
12,white 7,blank,white 7,,,,
13,white 7,blank,white 7,,,,
14,white 7,1 bar,white 7,,,,
15,white 7,1 bar,white 7,,,,
16,white 7,1 bar,white 7,,,,
17,blank,1 bar,blank,,,,
18,blank,blank,blank,,,,
19,blank,blank,blank,,,,
20,1 bar,blank,1 bar,,,,
21,1 bar,blue 7,1 bar,,,,
22,1 bar,blue 7,1 bar,,,,
23,blank,blue 7,1 bar,,,,
24,blank,blue 7,1 bar,,,,
25,blank,blue 7,blank,,,,
26,blue 7,blue 7,blank,,,,
27,blue 7,blue 7,blank,,,,
28,blue 7,blank,blue 7,,,,
29,blue 7,blank,blank,,,,
30,blue 7,blank,blank,,,,
31,blue 7,2 bar,blank,,,,
32,blank,2 bar,2 bar,,,,
33,blank,blank,2 bar,,,,
34,blank,blank,2 bar,,,,
35,2 bar,3 bar,blank,,,,
36,2 bar,3 bar,blank,,,,
37,blank,blank,3 bar,,,,
38,blank,blank,blank,,,,
39,3 bar,blank,blank,,,,
40,blank,blank,blank,,,,
41,blank,blank,blank,,,,
42,blank,red 7,blank,,,,
43,blank,red 7,red 7,,,,
44,blank,red 7,blank,,,,
45,red 7,blank,blank,,,,
46,blank,blank,blank,,,,
47,blank,blank,blank,,,,
48,blank,blank,blank,,,,
49,blank,blank,3 bar,,,,
50,blank,3 bar,3 bar,,,,
51,3 bar,3 bar,3 bar,,,,
52,3 bar,3 bar,blank,,,,
53,3 bar,blank,blank,,,,
54,blank,blank,2 bar,,,,
55,blank,2 bar,2 bar,,,,
56,2 bar,2 bar,2 bar,,,,
57,2 bar,blank,blank,,,,
58,blank,blank,blank,,,,
59,blank,1 bar,1 bar,,,,
60,1 bar,1 bar,1 bar,,,,
61,1 bar,1 bar,1 bar,,,,
62,1 bar,1 bar,1 bar,,,,
63,blank,blank,blank,,,,
64,blank,blank,blank,,,,
